date,team,score,suf_score,rank,rank_suf,total_points,result,rank_dif,points_by_rank,team_points
2023-06-14,Guinea,1.0,2.0,79.0,35.0,1306.0,1,44.0,0.0,0
2023-06-14,Uzbekistan,2.0,0.0,74.0,137.0,1318.0,0,-63.0,0.021897810218978103,3
2023-06-15,Costa Rica,0.0,1.0,39.0,116.0,1491.0,1,-77.0,0.0,0
2023-06-15,Panama,0.0,2.0,58.0,47.0,1399.0,1,11.0,0.0,0
2023-06-15,United States,3.0,0.0,13.0,15.0,1654.0,0,-2.0,0.2,3
2023-06-15,Cambodia,0.0,1.0,176.0,192.0,949.0,1,-16.0,0.0,0
2023-06-15,Japan,6.0,0.0,20.0,75.0,1589.0,0,-55.0,0.04,3
2023-06-15,Argentina,2.0,0.0,1.0,29.0,1841.0,0,-28.0,0.10344827586206896,3
2023-06-15,Jamaica,1.0,2.0,63.0,61.0,1382.0,1,2.0,0.0,0
2023-06-15,Philippines,1.0,0.0,136.0,174.0,1098.0,0,-38.0,0.017241379310344827,3
2023-06-15,Vietnam,1.0,0.0,95.0,147.0,1230.0,0,-52.0,0.02040816326530612,3
2023-06-15,Spain,2.0,1.0,10.0,8.0,1683.0,0,2.0,0.375,3
2023-06-15,Honduras,0.0,1.0,80.0,55.0,1300.0,1,25.0,0.0,0
2023-06-16,Chile,5.0,0.0,31.0,151.0,1511.0,0,-120.0,0.019867549668874173,3
2023-06-16,Colombia,1.0,0.0,17.0,67.0,1617.0,0,-50.0,0.04477611940298507,3
2023-06-16,South Korea,0.0,1.0,27.0,21.0,1536.0,1,6.0,0.0,0
2023-06-16,Poland,1.0,0.0,23.0,14.0,1554.0,0,9.0,0.21428571428571427,3
2023-06-16,Singapore,2.0,2.0,158.0,159.0,1014.0,2,-1.0,0.006289308176100629,1
2023-06-16,Gibraltar,0.0,3.0,201.0,2.0,855.0,1,199.0,0.0,0
2023-06-16,Curaçao,1.0,1.0,88.0,139.0,1272.0,2,-51.0,0.007194244604316547,1
2023-06-16,Sweden,4.0,1.0,22.0,100.0,1559.0,0,-78.0,0.03,3
2023-06-16,Malta,0.0,4.0,172.0,5.0,973.0,1,167.0,0.0,0
2023-06-16,Greece,2.0,1.0,52.0,49.0,1433.0,0,3.0,0.061224489795918366,3
2023-06-16,Serbia,3.0,2.0,25.0,84.0,1542.0,0,-59.0,0.03571428571428571,3
