date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,rank_home,total_points_home,rank_away,total_points_away
2025-11-13,Azerbaijan,Iceland,0.0,2.0,FIFA World Cup qualification,Baku,Azerbaijan,False,123.0,1142.0,74.0,1345.0
2025-11-13,Trinidad and Tobago,Jamaica,1.0,1.0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False,100.0,1230.0,68.0,1367.0
2025-11-13,Haiti,Costa Rica,1.0,0.0,FIFA World Cup qualification,Willemstad,Curaçao,True,88.0,1268.0,45.0,1484.0
2025-11-13,Nicaragua,Honduras,2.0,0.0,FIFA World Cup qualification,Managua,Nicaragua,False,133.0,1107.0,64.0,1396.0
2025-11-13,Norway,Estonia,4.0,1.0,FIFA World Cup qualification,Oslo,Norway,False,29.0,1532.0,130.0,1122.0
2025-11-13,Suriname,El Salvador,4.0,0.0,FIFA World Cup qualification,Paramaribo,Suriname,False,126.0,1136.0,94.0,1248.0
2025-11-13,Guatemala,Panama,2.0,3.0,FIFA World Cup qualification,Guatemala City,Guatemala,False,95.0,1242.0,31.0,1528.0
2025-11-14,Burkina Faso,Niger,3.0,2.0,Friendly,Mohammedia,Morocco,True,63.0,1398.0,108.0,1187.0
2025-11-14,Saudi Arabia,Ivory Coast,1.0,0.0,Friendly,Jeddah,Saudi Arabia,False,58.0,1427.0,42.0,1492.0
2025-11-14,Angola,Argentina,0.0,2.0,Friendly,Luanda,Angola,False,89.0,1267.0,2.0,1872.0
2025-11-14,Australia,Venezuela,0.0,1.0,Friendly,Houston,United States,True,25.0,1584.0,50.0,1463.0
2025-11-14,South Korea,Bolivia,2.0,0.0,Friendly,Daejeon,South Korea,False,22.0,1594.0,76.0,1335.0
2025-11-14,Morocco,Mozambique,1.0,0.0,Friendly,Tangier,Morocco,False,12.0,1710.0,101.0,1228.0
2025-11-14,Comoros,Namibia,1.0,0.0,Friendly,Iconi,Comoros,False,112.0,1180.0,116.0,1163.0
2025-11-14,Uganda,Chad,2.0,1.0,Friendly,Berrechid,Morocco,True,83.0,1288.0,178.0,914.0
2025-11-14,Japan,Ghana,2.0,0.0,Kirin Cup,Toyota,Japan,False,19.0,1645.0,73.0,1356.0
2025-11-14,Poland,Netherlands,1.0,1.0,FIFA World Cup qualification,Warsaw,Poland,False,33.0,1524.0,6.0,1760.0
2025-11-14,Luxembourg,Germany,0.0,2.0,FIFA World Cup qualification,Luxembourg,Luxembourg,False,97.0,1232.0,10.0,1713.0
2025-11-14,Slovakia,Northern Ireland,1.0,0.0,FIFA World Cup qualification,Košice,Slovakia,False,46.0,1483.0,69.0,1366.0
2025-11-14,Finland,Malta,0.0,1.0,FIFA World Cup qualification,Helsinki,Finland,False,72.0,1360.0,166.0,979.0
2025-11-14,Croatia,Faroe Islands,3.0,1.0,FIFA World Cup qualification,Rijeka,Croatia,False,11.0,1710.0,127.0,1132.0
2025-11-14,Gibraltar,Montenegro,1.0,2.0,FIFA World Cup qualification,Gibraltar,Gibraltar,False,200.0,823.0,81.0,1298.0
2025-11-14,Uzbekistan,Egypt,2.0,0.0,Al Ain International Cup,Al Ain,United Arab Emirates,True,55.0,1452.0,32.0,1525.0
2025-11-14,Tunisia,Jordan,3.0,2.0,Friendly,Radès,Tunisia,False,43.0,1491.0,66.0,1381.0
2025-11-14,Oman,Sudan,2.0,0.0,Friendly,Seeb,Oman,False,79.0,1312.0,119.0,1157.0
2025-11-15,Lesotho,Malawi,0.0,0.0,Friendly,Bloemfontein,South Africa,True,144.0,1070.0,128.0,1130.0
2025-11-15,Greece,Scotland,3.0,2.0,FIFA World Cup qualification,Piraeus,Greece,False,48.0,1473.0,38.0,1504.0
2025-11-15,Libya,Mauritania,1.0,0.0,Friendly,Benina,Libya,False,114.0,1178.0,113.0,1179.0
2025-11-15,Kuwait,Tanzania,4.0,3.0,Friendly,Cairo,Egypt,True,135.0,1097.0,107.0,1187.0
2025-11-15,Brazil,Senegal,2.0,0.0,Friendly,London,England,True,7.0,1759.0,18.0,1651.0
2025-11-15,Russia,Chile,0.0,2.0,Friendly,Sochi,Russia,False,30.0,1531.0,56.0,1447.0
2025-11-15,Mexico,Uruguay,0.0,0.0,Friendly,Torreón,Mexico,False,14.0,1683.0,15.0,1678.0
2025-11-15,South Africa,Zambia,3.0,1.0,Friendly,Gqeberha,South Africa,False,59.0,1423.0,87.0,1269.0
2025-11-15,United States,Paraguay,2.0,1.0,Friendly,Chester,United States,False,16.0,1673.0,39.0,1498.0
2025-11-15,Slovenia,Kosovo,0.0,2.0,FIFA World Cup qualification,Ljubljana,Slovenia,False,51.0,1463.0,84.0,1285.0
2025-11-15,Colombia,New Zealand,2.0,1.0,Friendly,Fort Lauderdale,United States,True,13.0,1696.0,85.0,1283.0
2025-11-15,Guinea,Liberia,2.0,0.0,Friendly,Casablanca,Morocco,True,80.0,1305.0,138.0,1084.0
2025-11-15,Denmark,Belarus,2.0,2.0,FIFA World Cup qualification,Copenhagen,Denmark,False,20.0,1641.0,103.0,1213.0
2025-11-15,Switzerland,Sweden,4.0,1.0,FIFA World Cup qualification,Geneva,Switzerland,False,17.0,1653.0,40.0,1497.0
2025-11-15,Turkey,Bulgaria,2.0,0.0,FIFA World Cup qualification,Bursa,Turkey,False,26.0,1570.0,91.0,1263.0
2025-11-15,Kazakhstan,Belgium,1.0,1.0,FIFA World Cup qualification,Astana,Kazakhstan,False,115.0,1168.0,8.0,1740.0
2025-11-15,Bahamas,British Virgin Islands,0.0,6.0,CONCACAF Series,George Town,Cayman Islands,True,203.0,807.0,208.0,765.0
2025-11-15,Cyprus,Austria,0.0,2.0,FIFA World Cup qualification,Limassol,Cyprus,False,125.0,1137.0,24.0,1587.0
2025-11-15,Bosnia and Herzegovina,Romania,3.0,1.0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False,75.0,1341.0,47.0,1480.0
2025-11-15,Liechtenstein,Wales,0.0,1.0,FIFA World Cup qualification,Vaduz,Liechtenstein,False,206.0,802.0,34.0,1519.0
2025-11-15,Georgia,Spain,0.0,4.0,FIFA World Cup qualification,Tbilisi,Georgia,False,70.0,1366.0,1.0,1881.0
2025-11-15,Barbados,Aruba,0.0,3.0,CONCACAF Series,North Sound,Antigua and Barbuda,True,175.0,920.0,194.0,861.0
2025-11-15,Cayman Islands,Anguilla,4.0,0.0,CONCACAF Series,George Town,Cayman Islands,False,195.0,853.0,209.0,759.0
2025-11-15,Saint Vincent and the Grenadines,Saint Lucia,3.0,1.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,171.0,962.0,164.0,991.0
2025-11-16,Azerbaijan,France,1.0,3.0,FIFA World Cup qualification,Baku,Azerbaijan,False,123.0,1142.0,3.0,1863.0
2025-11-16,Hungary,Republic of Ireland,2.0,3.0,FIFA World Cup qualification,Budapest,Hungary,False,37.0,1505.0,62.0,1401.0
2025-11-16,Ukraine,Iceland,2.0,0.0,FIFA World Cup qualification,Warsaw,Poland,True,27.0,1555.0,74.0,1345.0
2025-11-16,Portugal,Armenia,9.0,1.0,FIFA World Cup qualification,Porto,Portugal,False,5.0,1778.0,104.0,1205.0
2025-11-16,Italy,Norway,1.0,4.0,FIFA World Cup qualification,Milan,Italy,False,9.0,1717.0,29.0,1532.0
2025-11-16,Moldova,Israel,1.0,4.0,FIFA World Cup qualification,Chișinău,Moldova,False,156.0,1020.0,78.0,1325.0
2025-11-16,Albania,England,0.0,2.0,FIFA World Cup qualification,Tirana,Albania,False,61.0,1401.0,4.0,1824.0
2025-11-16,Serbia,Latvia,2.0,1.0,FIFA World Cup qualification,Leskovac,Serbia,False,36.0,1508.0,139.0,1084.0
2025-11-16,Nigeria,DR Congo,1.0,1.0,FIFA World Cup qualification,Rabat,Morocco,True,41.0,1495.0,60.0,1421.0
2025-11-17,Qatar,Zimbabwe,1.0,2.0,Friendly,Ar-Rayyan,Qatar,False,52.0,1462.0,129.0,1126.0
2025-11-17,Comoros,Namibia,4.0,0.0,Friendly,Iconi,Comoros,False,112.0,1180.0,116.0,1163.0
2025-11-17,Mozambique,Chad,2.0,2.0,Friendly,Berrechid,Morocco,True,101.0,1228.0,178.0,914.0
2025-11-17,Madagascar,Equatorial Guinea,2.0,0.0,Friendly,Antalya,Turkey,True,106.0,1193.0,99.0,1230.0
2025-11-17,Finland,Andorra,4.0,0.0,Friendly,Tampere,Finland,False,72.0,1360.0,172.0,955.0
2025-11-17,Bahrain,Somalia,1.0,2.0,Friendly,Riffa,Bahrain,False,90.0,1267.0,202.0,819.0
2025-11-17,Northern Ireland,Luxembourg,1.0,0.0,FIFA World Cup qualification,Belfast,Northern Ireland,False,69.0,1366.0,97.0,1232.0
2025-11-17,Germany,Slovakia,6.0,0.0,FIFA World Cup qualification,Leipzig,Germany,False,10.0,1713.0,46.0,1483.0
2025-11-17,Malta,Poland,2.0,3.0,FIFA World Cup qualification,Ta' Qali,Malta,False,166.0,979.0,33.0,1524.0
2025-11-17,Czech Republic,Gibraltar,6.0,0.0,FIFA World Cup qualification,Olomouc,Czech Republic,False,44.0,1485.0,200.0,823.0
2025-11-17,Montenegro,Croatia,2.0,3.0,FIFA World Cup qualification,Podgorica,Montenegro,False,81.0,1298.0,11.0,1710.0
2025-11-17,Cape Verde,Egypt,1.0,1.0,Al Ain International Cup,Al Ain,United Arab Emirates,True,71.0,1364.0,32.0,1525.0
2025-11-17,Vanuatu,Fiji,2.0,0.0,MSG Prime Minister's Cup,Port Moresby,Papua New Guinea,True,161.0,992.0,154.0,1035.0
2025-11-17,Netherlands,Lithuania,4.0,0.0,FIFA World Cup qualification,Amsterdam,Netherlands,False,6.0,1760.0,146.0,1056.0
2025-11-18,Mali,Jordan,3.0,2.0,Friendly,Radès,Tunisia,True,53.0,1456.0,66.0,1381.0
2025-11-18,Japan,Bolivia,3.0,0.0,Kirin Cup,Tokyo,Japan,False,19.0,1645.0,76.0,1335.0
2025-11-18,Benin,Burkina Faso,0.0,3.0,Friendly,Mohammedia,Morocco,True,92.0,1259.0,63.0,1398.0
2025-11-18,Kenya,Senegal,0.0,8.0,Friendly,Antalya,Turkey,True,109.0,1186.0,18.0,1651.0
2025-11-18,Oman,Ivory Coast,0.0,2.0,Friendly,Seeb,Oman,False,79.0,1312.0,42.0,1492.0
2025-11-18,Saudi Arabia,Algeria,0.0,2.0,Friendly,Jeddah,Saudi Arabia,False,58.0,1427.0,35.0,1510.0
2025-11-18,Kuwait,Gambia,2.0,2.0,Friendly,Cairo,Egypt,True,135.0,1097.0,117.0,1162.0
2025-11-18,Cyprus,Estonia,2.0,4.0,Friendly,Limassol,Cyprus,False,125.0,1137.0,130.0,1122.0
2025-11-18,Morocco,Uganda,4.0,0.0,Friendly,Tangier,Morocco,False,12.0,1710.0,83.0,1288.0
2025-11-18,Angola,Zambia,3.0,2.0,Friendly,Luanda,Angola,False,89.0,1267.0,87.0,1269.0
2025-11-18,Guinea,Niger,1.0,1.0,Friendly,Mohammedia,Morocco,True,80.0,1305.0,108.0,1187.0
2025-11-18,Maldives,Philippines,0.0,2.0,AFC Asian Cup qualification,Malé,Maldives,False,173.0,955.0,141.0,1081.0
2025-11-18,Brunei,Lebanon,0.0,3.0,AFC Asian Cup qualification,Bandar Seri Begawan,Brunei,False,185.0,882.0,110.0,1185.0
2025-11-18,Yemen,Bhutan,7.0,1.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True,152.0,1040.0,189.0,877.0
2025-11-18,Bangladesh,India,1.0,0.0,AFC Asian Cup qualification,Dhaka,Bangladesh,False,183.0,894.0,136.0,1097.0
2025-11-18,Hong Kong,Singapore,1.0,2.0,AFC Asian Cup qualification,Kowloon,Hong Kong,False,148.0,1053.0,155.0,1030.0
2025-11-18,Sri Lanka,Thailand,0.0,4.0,AFC Asian Cup qualification,Colombo,Sri Lanka,False,193.0,862.0,96.0,1235.0
2025-11-18,Pakistan,Syria,0.0,5.0,AFC Asian Cup qualification,Islamabad,Pakistan,False,198.0,837.0,86.0,1274.0
2025-11-18,Malaysia,Nepal,1.0,0.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False,118.0,1162.0,180.0,909.0
2025-11-18,Canada,Venezuela,2.0,0.0,Friendly,Fort Lauderdale,United States,True,28.0,1555.0,50.0,1463.0
2025-11-18,Chile,Peru,2.0,1.0,Friendly,Sochi,Russia,True,56.0,1447.0,49.0,1464.0
2025-11-18,Timor-Leste,Tajikistan,0.0,5.0,AFC Asian Cup qualification,Darwin,Australia,True,197.0,840.0,102.0,1220.0
2025-11-18,Colombia,Australia,3.0,0.0,Friendly,New York,United States,True,13.0,1696.0,25.0,1584.0
2025-11-18,Lesotho,Malawi,0.0,1.0,Friendly,Bloemfontein,South Africa,True,144.0,1070.0,128.0,1130.0
2025-11-18,Brazil,Tunisia,1.0,1.0,Friendly,Lille,France,True,7.0,1759.0,43.0,1491.0
2025-11-18,Trinidad and Tobago,Bermuda,2.0,2.0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False,100.0,1230.0,168.0,977.0
2025-11-18,Romania,San Marino,7.0,1.0,FIFA World Cup qualification,Ploiești,Romania,False,47.0,1480.0,210.0,728.0
2025-11-18,Spain,Turkey,2.0,2.0,FIFA World Cup qualification,Seville,Spain,False,1.0,1881.0,26.0,1570.0
2025-11-18,Belarus,Greece,0.0,0.0,FIFA World Cup qualification,Zalaegerszeg,Hungary,True,103.0,1213.0,48.0,1473.0
2025-11-18,Scotland,Denmark,4.0,2.0,FIFA World Cup qualification,Glasgow,Scotland,False,38.0,1504.0,20.0,1641.0
2025-11-18,Sweden,Slovenia,1.0,1.0,FIFA World Cup qualification,Solna,Sweden,False,40.0,1497.0,51.0,1463.0
2025-11-18,United States,Uruguay,5.0,1.0,Friendly,Tampa,United States,False,16.0,1673.0,15.0,1678.0
2025-11-18,Iraq,United Arab Emirates,2.0,1.0,FIFA World Cup qualification,Basra,Iraq,False,57.0,1429.0,67.0,1380.0
2025-11-18,Bulgaria,Georgia,2.0,1.0,FIFA World Cup qualification,Sofia,Bulgaria,False,91.0,1263.0,70.0,1366.0
